Geographic Area Name (NAME),"Area (Land, in square meters) (AREALAND)","Area (Water, in square meters) (AREAWATR)","Area (Land, in square miles) (AREALAND_SQMI)","Area (Water, in square miles) (AREAWATR_SQMI)",Latitude,Longitude
Census Tract 4001; Alameda County; California,"6,945,856",0,2.682,0,37.8676563,−122.2318813
Census Tract 4002; Alameda County; California,"586,560",0,0.226,0,37.8481378,−122.2495916
Census Tract 4003; Alameda County; California,"1,110,840",0,0.429,0,37.8405841,−122.2544782
Census Tract 4004; Alameda County; California,"716,138",0,0.277,0,37.848284,−122.2574447
Census Tract 4005; Alameda County; California,"591,424",0,0.228,0,37.8485452,−122.2647353
Census Tract 4006; Alameda County; California,"297,856",0,0.115,0,37.8419909,−122.2648882
Census Tract 4007; Alameda County; California,"865,141",0,0.334,0,37.8417014,−122.2722628
Census Tract 4008; Alameda County; California,"725,817",0,0.28,0,37.8454176,−122.2832338
Census Tract 4009; Alameda County; California,"408,342",0,0.158,0,37.839413,−122.2802550
Census Tract 4010; Alameda County; California,"1,149,000",0,0.444,0,37.8312043,−122.2718866
Census Tract 4011; Alameda County; California,"873,332",0,0.337,0,37.8304839,−122.2638399
Census Tract 4012; Alameda County; California,"663,620",0,0.256,0,37.8306009,−122.2579159
Census Tract 4013; Alameda County; California,"861,889",0,0.333,0,37.8181386,−122.2667055
Census Tract 4014; Alameda County; California,"754,768",0,0.291,0,37.8207423,−122.2734090
Census Tract 4015; Alameda County; California,"467,741",0,0.181,0,37.8229286,−122.2806336
Census Tract 4016; Alameda County; California,"636,136",0,0.246,0,37.8173713,−122.2814822
Census Tract 4017; Alameda County; California,"5,751,456","5,771,096",2.221,2.228,37.8211635,−122.3187951
Census Tract 4018; Alameda County; California,"301,016",0,0.116,0,37.8095098,−122.2982554
Census Tract 4022; Alameda County; California,"715,808",0,0.276,0,37.8063266,−122.2962183
Census Tract 4024; Alameda County; California,"337,011",0,0.13,0,37.8120305,−122.2824576
Census Tract 4025; Alameda County; California,"365,454",0,0.141,0,37.8057305,−122.2847803
Census Tract 4026; Alameda County; California,"318,842",0,0.123,0,37.80427,−122.2799551
Census Tract 4027; Alameda County; California,"387,217",0,0.15,0,37.8103325,−122.2770981
Census Tract 4028.01; Alameda County; California,"291,472",0,0.113,0,37.8095483,−122.2707403
Census Tract 4028.02; Alameda County; California,"118,446",0,0.046,0,37.8070174,−122.2735577
Census Tract 4029; Alameda County; California,"407,131",0,0.157,0,37.8071852,−122.2667035
Census Tract 4030; Alameda County; California,"352,394",0,0.136,0,37.8004341,−122.2707274
Census Tract 4031; Alameda County; California,"346,852",0,0.134,0,37.8022741,−122.2755012
Census Tract 4033.01; Alameda County; California,"196,598",0,0.076,0,37.7981065,−122.2669550
Census Tract 4033.02; Alameda County; California,"719,239","104,126",0.278,0.04,37.7937603,−122.2667344
Census Tract 4034.01; Alameda County; California,"549,686","602,434",0.212,0.233,37.8092493,−122.2597833
Census Tract 4034.02; Alameda County; California,"99,215",0,0.038,0,37.8024095,−122.2651075
Census Tract 4035.01; Alameda County; California,"669,873",0,0.259,0,37.8177398,−122.2600504
Census Tract 4035.02; Alameda County; California,"181,133",0,0.07,0,37.8159444,−122.2569636
Census Tract 4036; Alameda County; California,"392,820",0,0.152,0,37.8135239,−122.2534812
