GEO_ID,NAME,S1501_C01_001E,S1501_C01_002E
Geography,Geographic Area Name,Total estimates for age by educational attainment Population 18 to 24 years,Population 18 to 24 years Less than high school graduate
1400000US06001400100,Census Tract 4001; Alameda County; California,86,0
1400000US06001400200,Census Tract 4002; Alameda County; California,57,0
1400000US06001400300,Census Tract 4003; Alameda County; California,163,41
1400000US06001400400,Census Tract 4004; Alameda County; California,82,10
1400000US06001400500,Census Tract 4005; Alameda County; California,440,0
1400000US06001400600,Census Tract 4006; Alameda County; California,157,0
1400000US06001400700,Census Tract 4007; Alameda County; California,230,19
1400000US06001400800,Census Tract 4008; Alameda County; California,300,2
1400000US06001400900,Census Tract 4009; Alameda County; California,275,77
1400000US06001401000,Census Tract 4010; Alameda County; California,296,72
1400000US06001401100,Census Tract 4011; Alameda County; California,458,105
1400000US06001401200,Census Tract 4012; Alameda County; California,150,10
1400000US06001401300,Census Tract 4013; Alameda County; California,268,0
1400000US06001401400,Census Tract 4014; Alameda County; California,817,70
1400000US06001401500,Census Tract 4015; Alameda County; California,206,43
1400000US06001401600,Census Tract 4016; Alameda County; California,197,0
1400000US06001401700,Census Tract 4017; Alameda County; California,97,0
1400000US06001401800,Census Tract 4018; Alameda County; California,133,0
1400000US06001402200,Census Tract 4022; Alameda County; California,160,17
1400000US06001402400,Census Tract 4024; Alameda County; California,166,0
1400000US06001402500,Census Tract 4025; Alameda County; California,222,26
1400000US06001402600,Census Tract 4026; Alameda County; California,105,15
1400000US06001402700,Census Tract 4027; Alameda County; California,312,22
1400000US06001402801,Census Tract 4028.01; Alameda County; California,284,44
1400000US06001402802,Census Tract 4028.02; Alameda County; California,137,8
1400000US06001402900,Census Tract 4029; Alameda County; California,96,7
1400000US06001403000,Census Tract 4030; Alameda County; California,94,0
1400000US06001403100,Census Tract 4031; Alameda County; California,190,46
1400000US06001403301,Census Tract 4033.01; Alameda County; California,29,0
1400000US06001403302,Census Tract 4033.02; Alameda County; California,149,0
1400000US06001403401,Census Tract 4034.01; Alameda County; California,126,0
1400000US06001403402,Census Tract 4034.02; Alameda County; California,88,0
1400000US06001403501,Census Tract 4035.01; Alameda County; California,201,0
1400000US06001403502,Census Tract 4035.02; Alameda County; California,85,0
1400000US06001403600,Census Tract 4036; Alameda County; California,244,0
1400000US06001403701,Census Tract 4037.01; Alameda County; California,225,0
1400000US06001403702,Census Tract 4037.02; Alameda County; California,100,0
1400000US06001403800,Census Tract 4038; Alameda County; California,63,0
1400000US06001403900,Census Tract 4039; Alameda County; California,73,0
1400000US06001404000,Census Tract 4040; Alameda County; California,114,0
1400000US06001404101,Census Tract 4041.01; Alameda County; California,93,44
1400000US06001404102,Census Tract 4041.02; Alameda County; California,51,0
1400000US06001404200,Census Tract 4042; Alameda County; California,353,11
1400000US06001404300,Census Tract 4043; Alameda County; California,229,69
1400000US06001404400,Census Tract 4044; Alameda County; California,256,0
1400000US06001404501,Census Tract 4045.01; Alameda County; California,48,15
1400000US06001404502,Census Tract 4045.02; Alameda County; California,282,3
1400000US06001404600,Census Tract 4046; Alameda County; California,63,0
1400000US06001404700,Census Tract 4047; Alameda County; California,46,7
1400000US06001404800,Census Tract 4048; Alameda County; California,209,0
1400000US06001404900,Census Tract 4049; Alameda County; California,155,8
1400000US06001405000,Census Tract 4050; Alameda County; California,132,37
1400000US06001405100,Census Tract 4051; Alameda County; California,147,8
1400000US06001405200,Census Tract 4052; Alameda County; California,140,23
1400000US06001405301,Census Tract 4053.01; Alameda County; California,73,12
1400000US06001405302,Census Tract 4053.02; Alameda County; California,101,0
1400000US06001405401,Census Tract 4054.01; Alameda County; California,288,36
1400000US06001405402,Census Tract 4054.02; Alameda County; California,210,0
1400000US06001405500,Census Tract 4055; Alameda County; California,162,2
1400000US06001405600,Census Tract 4056; Alameda County; California,160,21
1400000US06001405700,Census Tract 4057; Alameda County; California,325,35
1400000US06001405800,Census Tract 4058; Alameda County; California,297,23
1400000US06001405901,Census Tract 4059.01; Alameda County; California,295,0
1400000US06001405902,Census Tract 4059.02; Alameda County; California,246,21
