GEO_ID,NAME,S1701_C01_001E
Geography,Geographic Area Name,Population for whom poverty status is determined
1400000US06001400100,Census Tract 4001; Alameda County; California,3248
1400000US06001400200,Census Tract 4002; Alameda County; California,2147
1400000US06001400300,Census Tract 4003; Alameda County; California,5592
1400000US06001400400,Census Tract 4004; Alameda County; California,4226
1400000US06001400500,Census Tract 4005; Alameda County; California,3941
1400000US06001400600,Census Tract 4006; Alameda County; California,2032
1400000US06001400700,Census Tract 4007; Alameda County; California,4758
1400000US06001400800,Census Tract 4008; Alameda County; California,4322
1400000US06001400900,Census Tract 4009; Alameda County; California,2844
1400000US06001401000,Census Tract 4010; Alameda County; California,6269
1400000US06001401100,Census Tract 4011; Alameda County; California,5521
1400000US06001401200,Census Tract 4012; Alameda County; California,2987
1400000US06001401300,Census Tract 4013; Alameda County; California,4293
1400000US06001401400,Census Tract 4014; Alameda County; California,5380
1400000US06001401500,Census Tract 4015; Alameda County; California,2932
1400000US06001401600,Census Tract 4016; Alameda County; California,2403
1400000US06001401700,Census Tract 4017; Alameda County; California,3265
1400000US06001401800,Census Tract 4018; Alameda County; California,1709
1400000US06001402200,Census Tract 4022; Alameda County; California,2313
1400000US06001402400,Census Tract 4024; Alameda County; California,2593
1400000US06001402500,Census Tract 4025; Alameda County; California,2010
1400000US06001402600,Census Tract 4026; Alameda County; California,1300
1400000US06001402700,Census Tract 4027; Alameda County; California,2039
1400000US06001402801,Census Tract 4028.01; Alameda County; California,3254
1400000US06001402802,Census Tract 4028.02; Alameda County; California,1430
1400000US06001402900,Census Tract 4029; Alameda County; California,1776
1400000US06001403000,Census Tract 4030; Alameda County; California,2897
1400000US06001403100,Census Tract 4031; Alameda County; California,1773
1400000US06001403301,Census Tract 4033.01; Alameda County; California,1830
1400000US06001403302,Census Tract 4033.02; Alameda County; California,2556
1400000US06001403401,Census Tract 4034.01; Alameda County; California,2696
1400000US06001403402,Census Tract 4034.02; Alameda County; California,1134
1400000US06001403501,Census Tract 4035.01; Alameda County; California,4904
1400000US06001403502,Census Tract 4035.02; Alameda County; California,1919
1400000US06001403600,Census Tract 4036; Alameda County; California,4951
1400000US06001403701,Census Tract 4037.01; Alameda County; California,2823
1400000US06001403702,Census Tract 4037.02; Alameda County; California,2172
1400000US06001403800,Census Tract 4038; Alameda County; California,4008
1400000US06001403900,Census Tract 4039; Alameda County; California,3881
1400000US06001404000,Census Tract 4040; Alameda County; California,3145
1400000US06001404101,Census Tract 4041.01; Alameda County; California,3197
1400000US06001404102,Census Tract 4041.02; Alameda County; California,2569
1400000US06001404200,Census Tract 4042; Alameda County; California,3734
1400000US06001404300,Census Tract 4043; Alameda County; California,3587
1400000US06001404400,Census Tract 4044; Alameda County; California,5823
1400000US06001404501,Census Tract 4045.01; Alameda County; California,1820
1400000US06001404502,Census Tract 4045.02; Alameda County; California,6110
1400000US06001404600,Census Tract 4046; Alameda County; California,4934
1400000US06001404700,Census Tract 4047; Alameda County; California,2187
1400000US06001404800,Census Tract 4048; Alameda County; California,2744
1400000US06001404900,Census Tract 4049; Alameda County; California,4669
1400000US06001405000,Census Tract 4050; Alameda County; California,3665
1400000US06001405100,Census Tract 4051; Alameda County; California,4508
1400000US06001405200,Census Tract 4052; Alameda County; California,4913
1400000US06001405301,Census Tract 4053.01; Alameda County; California,2808
1400000US06001405302,Census Tract 4053.02; Alameda County; California,2559
1400000US06001405401,Census Tract 4054.01; Alameda County; California,3515
1400000US06001405402,Census Tract 4054.02; Alameda County; California,3591
1400000US06001405500,Census Tract 4055; Alameda County; California,3528
1400000US06001405600,Census Tract 4056; Alameda County; California,3019
1400000US06001405700,Census Tract 4057; Alameda County; California,3513
1400000US06001405800,Census Tract 4058; Alameda County; California,4170
1400000US06001405901,Census Tract 4059.01; Alameda County; California,3757
1400000US06001405902,Census Tract 4059.02; Alameda County; California,3106
1400000US06001406000,Census Tract 4060; Alameda County; California,4705
1400000US06001406100,Census Tract 4061; Alameda County; California,4939
1400000US06001406201,Census Tract 4062.01; Alameda County; California,5044
1400000US06001406202,Census Tract 4062.02; Alameda County; California,4570
1400000US06001406300,Census Tract 4063; Alameda County; California,4554
1400000US06001406400,Census Tract 4064; Alameda County; California,2295
1400000US06001406500,Census Tract 4065; Alameda County; California,6421
1400000US06001406601,Census Tract 4066.01; Alameda County; California,4531
1400000US06001406602,Census Tract 4066.02; Alameda County; California,2508
1400000US06001406700,Census Tract 4067; Alameda County; California,5372
1400000US06001406800,Census Tract 4068; Alameda County; California,3952
1400000US06001406900,Census Tract 4069; Alameda County; California,3865
1400000US06001407000,Census Tract 4070; Alameda County; California,6096
1400000US06001407101,Census Tract 4071.01; Alameda County; California,4025
1400000US06001407102,Census Tract 4071.02; Alameda County; California,4222
1400000US06001407200,Census Tract 4072; Alameda County; California,6487
1400000US06001407300,Census Tract 4073; Alameda County; California,2459
1400000US06001407400,Census Tract 4074; Alameda County; California,4242
1400000US06001407500,Census Tract 4075; Alameda County; California,3917
